,Unnamed: 0,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
893,893,2020_10_11,-34.616425,-58.400223,https://departamento.mercadolibre.com.ar/MLA-883097760-departamento-3-ambientes-amplios-excelente-estado-balcon-luz-transporte-_JM,"Departamento 3 Ambientes Amplios, Excelente Estado, Balcón, Luz, Transporte.",Departamento,103000.0,ARS,60.0,3.0
894,894,2020_10_11,-34.595473999999996,-58.415397999999996,https://departamento.mercadolibre.com.ar/MLA-883104140-hermoso-mono-luminoso-frente-40m2-zona-up-nueva-ley-alqu-_JM,Hermoso Mono Luminoso Frente 40m2 Zona Up (nueva Ley Alqu.),Departamento,104900.0,ARS,42.0,1.0
895,895,2020_10_11,-34.58072,-58.4132,https://departamento.mercadolibre.com.ar/MLA-883105863-alquiler-tradicional-en-palermo-chico-_JM,Alquiler Tradicional En Palermo Chico,Departamento,155000.0,ARS,80.0,2.0
896,896,2020_10_11,-34.599476,-58.41044599999999,https://departamento.mercadolibre.com.ar/MLA-883106550-monoambiente-con-piscina-subte-tren-colectivo-_JM,Monoambiente Con Piscina  Subte Tren Colectivo,Departamento,95000.0,ARS,35.0,1.0
897,897,2020_10_11,-34.5595,-58.4439,https://departamento.mercadolibre.com.ar/MLA-883108945-alquiler-luminoso-4-ambientes-barrancas-belgrano-_JM,Alquiler Luminoso 4 Ambientes Barrancas Belgrano,Departamento,650.0,USD,142.0,4.0
898,898,2020_10_11,-34.556816,-58.463135,https://departamento.mercadolibre.com.ar/MLA-883109134-depto-1-amb-amueblado-temporario-belgrano-_JM,Depto 1 Amb Amueblado Temporario Belgrano,Departamento,105000.0,ARS,38.0,1.0
899,899,2020_10_11,-34.59763,-58.446922,https://departamento.mercadolibre.com.ar/MLA-883118597-departamento-3-amb-con-terraza-villa-crespo-_JM,Departamento 3 Amb Con Terraza - Villa Crespo,Departamento,117000.0,ARS,120.0,3.0
900,900,2020_10_11,-34.587452,-58.442364000000005,https://departamento.mercadolibre.com.ar/MLA-883119300-alquiler-temporario-2-ambientes-amoblado-con-patio-y-jardin-palermo-hollywood-_JM,Alquiler Temporario 2 Ambientes Amoblado Con Patio Y Jardín. Palermo Hollywood,Departamento,600.0,USD,74.65,2.0
901,901,2020_10_11,-34.598114,-58.410984,https://departamento.mercadolibre.com.ar/MLA-883119676-alquila-monoambiente-divid-almagro-sin-muebles-_JM,Alquila Monoambiente Divid. Almagro Sin Muebles,Departamento,93000.0,ARS,30.0,1.0
902,902,2020_10_11,-34.59288,-58.44557,https://departamento.mercadolibre.com.ar/MLA-883120369-alquiler-2-amb-humboldt-al-600-villa-crespo-_JM,Alquiler 2 Amb - Humboldt Al 600 - Villa Crespo,Departamento,95000.0,ARS,33.0,2.0
903,903,2020_10_11,-34.55706,-58.480846,https://departamento.mercadolibre.com.ar/MLA-883120466-departamento-2-ambalquiler-temporal-amob-saavedra-_JM,Departamento 2 Amb.alquiler Temporal Amob Saavedra,Departamento,124000.0,ARS,64.0,2.0
904,904,2020_10_11,-34.556973,-58.461090000000006,https://departamento.mercadolibre.com.ar/MLA-883120704-alquiler-depto-3-amb-belgrano-_JM,Alquiler Depto 3 Amb.  Belgrano,Departamento,115000.0,ARS,60.0,3.0
905,905,2020_10_11,-34.55706,-58.480846,https://departamento.mercadolibre.com.ar/MLA-883121059-departamento-2-ambientes-en-alquiler-saavedra-_JM,Departamento 2 Ambientes En Alquiler Saavedra,Departamento,113000.0,ARS,64.0,2.0
906,906,2020_10_11,-34.61656,-58.36114499999999,https://departamento.mercadolibre.com.ar/MLA-883122466-alquiler-departamento-3-amb-puerto-madero-_JM,Alquiler Departamento 3 Amb Puerto Madero!,Departamento,145000.0,ARS,75.0,3.0
907,907,2020_10_11,-34.581184,-58.41203,https://departamento.mercadolibre.com.ar/MLA-883122996-ugarteche-3000-4-c-botanico-departamentos-2-ambientes-alquiler-_JM,Ugarteche 3000 4-c - Botánico - Departamentos 2 Ambientes - Alquiler,Departamento,98000.0,ARS,41.0,2.0
908,908,2020_10_11,-34.609455,-58.387314,https://departamento.mercadolibre.com.ar/MLA-883124480-alquiler-3-anos-2-amb-zona-centro-_JM,Alquiler 3 Años 2 Amb. Zona Centro.,Departamento,100000.0,ARS,58.0,2.0
909,909,2020_10_11,-34.561012,-58.45178000000001,https://departamento.mercadolibre.com.ar/MLA-883124588-alquiler-4-ambientes-balcon-terraza-belgrano-_JM,Alquiler 4 Ambientes Balcon Terraza Belgrano,Departamento,165000.0,ARS,150.0,4.0
910,910,2020_10_11,-34.578064000000005,-58.426533,https://departamento.mercadolibre.com.ar/MLA-883125099-alquiler-departamento-2-ambientes-palermo-lavalle-y-bulnes-_JM,Alquiler Departamento 2 Ambientes - Palermo - Lavalle Y Bulnes,Departamento,98000.0,ARS,42.0,2.0
911,911,2020_10_11,-34.59128,-58.40971999999999,https://departamento.mercadolibre.com.ar/MLA-883126367-unico-torre-promenade-piso-35-2-cocheras-_JM,Unico! Torre Promenade Piso 35!! 2 Cocheras,Departamento,1700.0,USD,86.0,3.0
912,912,2020_10_11,-34.573856,-58.438786,https://departamento.mercadolibre.com.ar/MLA-883126553-departamento-3-amb-belgrano-cochera-amenities-_JM,Departamento 3 Amb Belgrano +cochera +amenities,Departamento,134000.0,ARS,65.0,3.0
913,913,2020_10_11,-34.613503,-58.362809999999996,https://departamento.mercadolibre.com.ar/MLA-883127015-3-dorm-amueblado-cochera-precio-paquete-_JM,"3 Dorm. Amueblado, Cochera Precio Paquete",Departamento,1950.0,USD,132.0,4.0
914,914,2020_10_11,-34.59506,-58.373385999999996,https://departamento.mercadolibre.com.ar/MLA-883129718-alquiler-3-ambientes-c-terraza-parrilla-en-retiro-_JM,Alquiler 3 Ambientes C/ Terraza Parrilla En Retiro,Departamento,105000.0,ARS,118.0,3.0
915,915,2020_10_11,-34.589973,-58.411537,https://departamento.mercadolibre.com.ar/MLA-883130380-alq-3-amb-81-m2-ccoch-torre-premium-alto-palermo-_JM,Alq 3 Amb 81 M2 C/coch Torre Premium Alto Palermo,Departamento,160000.0,ARS,81.0,3.0
916,916,2020_10_11,-34.564594,-58.4666,https://departamento.mercadolibre.com.ar/MLA-883131225-departamentos-alquiler-belgrano-_JM,Departamentos Alquiler Belgrano,Departamento,95000.0,ARS,37.0,1.0
917,917,2020_10_11,-34.563946,-58.467724,https://departamento.mercadolibre.com.ar/MLA-883131227-departamentos-alquiler-villa-urquiza-_JM,Departamentos Alquiler Villa Urquiza,Departamento,95000.0,ARS,37.0,1.0
918,918,2020_10_11,-34.563057,-58.467445,https://departamento.mercadolibre.com.ar/MLA-883131965-departamentos-alquiler-coghlan-_JM,Departamentos Alquiler Coghlan,Departamento,95000.0,ARS,37.0,1.0
919,919,2020_10_11,-34.631134,-58.46929,https://departamento.mercadolibre.com.ar/MLA-883132103-monoambiente-ccocina-separada-y-lavaderoflores-_JM,Monoambiente C/cocina Separada Y Lavadero.flores,Departamento,90000.0,ARS,27.0,1.0
920,920,2020_10_11,-34.5981,-58.39341999999999,https://departamento.mercadolibre.com.ar/MLA-883135592-callao-av-900-6-c-recoleta-departamentos-1-ambiente-alquiler-_JM,Callao Av. 900 6-c - Recoleta - Departamentos 1 Ambiente - Alquiler,Departamento,100000.0,ARS,36.0,1.0
921,921,2020_10_11,-34.591503,-58.426140000000004,https://departamento.mercadolibre.com.ar/MLA-883144666-departamento-2-ambientes-temporario-pura-luz-_JM,Departamento 2 Ambientes Temporario Pura Luz,Departamento,92900.0,ARS,50.0,2.0
922,922,2020_10_11,-34.564194,-58.460471999999996,https://departamento.mercadolibre.com.ar/MLA-883150928-departamentos-alquiler-belgrano-_JM,Departamentos Alquiler Belgrano,Departamento,98000.0,ARS,47.0,2.0
923,923,2020_10_11,-34.557198,-58.46021999999999,https://departamento.mercadolibre.com.ar/MLA-883151952-departamentos-alquiler-belgrano-_JM,Departamentos Alquiler Belgrano,Departamento,107000.0,ARS,70.0,4.0
924,924,2020_10_11,-34.58618,-58.424137,https://departamento.mercadolibre.com.ar/MLA-883152193-departamentos-alquiler-palermo-soho-_JM,Departamentos Alquiler Palermo Soho,Departamento,100000.0,ARS,42.0,2.0
925,925,2020_10_11,-34.59565,-58.42795600000001,https://departamento.mercadolibre.com.ar/MLA-883157897-alquiler-departamento-3-ambientes-palermo-patio-lavadero-_JM,Alquiler Departamento 3 Ambientes Palermo Patio Lavadero,Departamento,103000.0,ARS,86.0,3.0
926,926,2020_10_11,-34.574234000000004,-58.42335500000001,https://departamento.mercadolibre.com.ar/MLA-883173661-departamentos-alquiler-palermo-_JM,Departamentos Alquiler Palermo,Departamento,155000.0,ARS,93.0,3.0
927,927,2020_10_11,-34.585644,-58.39683,https://departamento.mercadolibre.com.ar/MLA-883174535-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,6000.0,USD,267.0,4.0
928,928,2020_10_11,-34.592102000000004,-58.37931,https://departamento.mercadolibre.com.ar/MLA-883174766-departamentos-alquiler-retiro-_JM,Departamentos Alquiler Retiro,Departamento,1900.0,USD,160.0,4.0
929,929,2020_10_11,-34.58279,-58.398537,https://departamento.mercadolibre.com.ar/MLA-883175533-departamentos-alquiler-palermo-chico-_JM,Departamentos Alquiler Palermo Chico,Departamento,2400.0,USD,204.0,5.0
930,930,2020_10_11,-34.59507,-58.39004499999999,https://departamento.mercadolibre.com.ar/MLA-883176186-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,120000.0,ARS,100.0,3.0
931,931,2020_10_11,-34.590523,-58.387386,https://departamento.mercadolibre.com.ar/MLA-883176403-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,3200.0,USD,330.0,5.0
932,932,2020_10_11,-34.574715000000005,-58.418896,https://departamento.mercadolibre.com.ar/MLA-883177359-departamentos-alquiler-palermo-chico-_JM,Departamentos Alquiler Palermo Chico,Departamento,6700.0,USD,276.0,5.0
933,933,2020_10_11,-34.582703,-58.4138,https://departamento.mercadolibre.com.ar/MLA-883178214-departamentos-alquiler-palermo-_JM,Departamentos Alquiler Palermo,Departamento,150000.0,ARS,150.0,5.0
934,934,2020_10_11,-34.588584999999995,-58.38511999999999,https://departamento.mercadolibre.com.ar/MLA-883179670-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,155000.0,ARS,70.0,2.0
935,935,2020_10_11,-34.597576000000004,-58.375275,https://departamento.mercadolibre.com.ar/MLA-883181071-departamentos-alquiler-retiro-_JM,Departamentos Alquiler Retiro,Departamento,2650.0,USD,283.0,6.0
936,936,2020_10_11,-34.576409999999996,-58.464369999999995,https://departamento.mercadolibre.com.ar/MLA-883181460-departamento-en-alquiler-en-belgrano-_JM,Departamento En Alquiler En Belgrano,Departamento,98000.0,ARS,40.0,2.0
937,937,2020_10_11,-34.58828,-58.38616,https://departamento.mercadolibre.com.ar/MLA-883181859-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,3500.0,USD,330.0,6.0
938,938,2020_10_11,-34.607215999999994,-58.429080000000006,https://departamento.mercadolibre.com.ar/MLA-883182840-dos-ambientes-en-alquiler-a-estrenar-zona-hospita-italiano-_JM,Dos Ambientes En Alquiler A Estrenar Zona Hospita  Italiano ,Departamento,101000.0,ARS,51.0,2.0
